Source,Steel type,Tempering temperature (ºC),Tempering time (s),Tempering time (h),log10(Time),Final hardness (HRC) - post tempering
"Penha, 2010",AISI-SAE 4340,100.0,10.0,0.002778,1.0,56.9
"Penha, 2010",AISI-SAE 4340,100.0,90.0,0.025,1.954243,55.9
"Penha, 2010",AISI-SAE 4340,100.0,900.0,0.25,2.954243,55.4
"Penha, 2010",AISI-SAE 4340,100.0,9000.0,2.5,3.954243,55.3
"Penha, 2010",AISI-SAE 4340,100.0,86400.0,24.0,4.936514,54.9
"Penha, 2010",AISI-SAE 4340,150.0,10.0,0.002778,1.0,55.4
"Penha, 2010",AISI-SAE 4340,150.0,90.0,0.025,1.954243,55.2
"Penha, 2010",AISI-SAE 4340,150.0,900.0,0.25,2.954243,56.1
"Penha, 2010",AISI-SAE 4340,150.0,9000.0,2.5,3.954243,52.1
"Penha, 2010",AISI-SAE 4340,150.0,86400.0,24.0,4.936514,51.0
"Penha, 2010",AISI-SAE 4340,200.0,10.0,0.002778,1.0,55.8
"Penha, 2010",AISI-SAE 4340,200.0,90.0,0.025,1.954243,55.4
"Penha, 2010",AISI-SAE 4340,200.0,900.0,0.25,2.954243,55.2
"Penha, 2010",AISI-SAE 4340,200.0,9000.0,2.5,3.954243,50.5
"Penha, 2010",AISI-SAE 4340,200.0,86400.0,24.0,4.936514,46.5
"Penha, 2010",AISI-SAE 4340,250.0,10.0,0.002778,1.0,54.9
"Penha, 2010",AISI-SAE 4340,250.0,90.0,0.025,1.954243,54.5
"Penha, 2010",AISI-SAE 4340,250.0,900.0,0.25,2.954243,52.8
"Penha, 2010",AISI-SAE 4340,250.0,3600.0,1.0,3.556303,50.5
"Penha, 2010",AISI-SAE 4340,250.0,9000.0,2.5,3.954243,47.5
"Penha, 2010",AISI-SAE 4340,250.0,86400.0,24.0,4.936514,45.0
"Penha, 2010",AISI-SAE 4340,300.0,10.0,0.002778,1.0,53.9
"Penha, 2010",AISI-SAE 4340,300.0,90.0,0.025,1.954243,50.0
"Penha, 2010",AISI-SAE 4340,300.0,900.0,0.25,2.954243,49.8
"Penha, 2010",AISI-SAE 4340,300.0,3600.0,1.0,3.556303,48.1
"Penha, 2010",AISI-SAE 4340,300.0,9000.0,2.5,3.954243,45.6
"Penha, 2010",AISI-SAE 4340,300.0,86400.0,24.0,4.936514,44.2
"Penha, 2010",AISI-SAE 4340,400.0,10.0,0.002778,1.0,54.4
"Penha, 2010",AISI-SAE 4340,400.0,90.0,0.025,1.954243,48.0
"Penha, 2010",AISI-SAE 4340,400.0,900.0,0.25,2.954243,46.0
"Penha, 2010",AISI-SAE 4340,400.0,3600.0,1.0,3.556303,43.8
"Penha, 2010",AISI-SAE 4340,400.0,9000.0,2.5,3.954243,41.2
"Penha, 2010",AISI-SAE 4340,400.0,86400.0,24.0,4.936514,37.1
"Penha, 2010",AISI-SAE 4340,500.0,10.0,0.002778,1.0,45.2
"Penha, 2010",AISI-SAE 4340,500.0,90.0,0.025,1.954243,45.0
"Penha, 2010",AISI-SAE 4340,500.0,900.0,0.25,2.954243,38.1
"Penha, 2010",AISI-SAE 4340,500.0,3600.0,1.0,3.556303,37.5
"Penha, 2010",AISI-SAE 4340,500.0,9000.0,2.5,3.954243,35.8
"Penha, 2010",AISI-SAE 4340,500.0,86400.0,24.0,4.936514,34.8
"Penha, 2010",AISI-SAE 4340,600.0,10.0,0.002778,1.0,44.1
"Penha, 2010",AISI-SAE 4340,600.0,90.0,0.025,1.954243,37.7
"Penha, 2010",AISI-SAE 4340,600.0,900.0,0.25,2.954243,33.6
"Penha, 2010",AISI-SAE 4340,600.0,3600.0,1.0,3.556303,31.9
"Penha, 2010",AISI-SAE 4340,600.0,9000.0,2.5,3.954243,23.2
"Penha, 2010",AISI-SAE 4340,600.0,86400.0,24.0,4.936514,21.3
"Penha, 2010",AISI-SAE 4340,700.0,10.0,0.002778,1.0,35.1
"Penha, 2010",AISI-SAE 4340,700.0,90.0,0.025,1.954243,33.6
"Penha, 2010",AISI-SAE 4340,700.0,900.0,0.25,2.954243,33.2
"Penha, 2010",AISI-SAE 4340,700.0,3600.0,1.0,3.556303,20.3
"Penha, 2010",AISI-SAE 4340,700.0,9000.0,2.5,3.954243,15.9
"Penha, 2010",AISI-SAE 4340,700.0,86400.0,24.0,4.936514,13.5
