Tempering temperature (ºC),Tempering time (s),Tempering time (h),Final hardness (HRC) - post tempering,Predicted hardness (HRC),Residual (HRC),Absolute error (HRC)
700,9000,2.5,15.9,23.949282,-8.049282,8.049282
700,10,0.002778,35.1,42.277334,-7.177334,7.177334
500,86400,24.0,34.8,28.340963,6.459037,6.459037
700,3600,1.0,20.3,26.418093,-6.118093,6.118093
600,9000,2.5,23.2,28.236298,-5.036298,5.036298
400,10,0.002778,54.4,49.439035,4.960965,4.960965
700,86400,24.0,13.5,17.855295,-4.355295,4.355295
100,90,0.025,55.9,59.636504,-3.736504,3.736504
100,10,0.002778,56.9,60.611860,-3.711860,3.711860
400,900,0.25,46.0,42.653622,3.346378,3.346378
